Name,Location,Start date,End date,Type,Format,Rounds,URL,Special,Continent,Category,Live games,Prize Fund,Description,Venue,Landing,Players
Saint Louis Rapid,Saint Louis - Missouri - USA,August 9,August 16,RR,Rapid,9,https://grandchesstour.org/,yes,North America,,Coming soon,,,,https://calendar.chessdom.com/saint-louis-rapid/,"Gukesh D, Fabiano Caruana, Alireza Firouzja, Nodirbek Abdusattorov, Levon Aronian, Praggnanandhaa Rameshbabu, Maxime Vachier-Lagrave, Jan-Krzysztof Duda, Wesley So"
Saint Louis Blitz,Saint Louis - Missouri - USA,August 9,August 16,RR,Blitz,18,https://grandchesstour.org/,yes,North America,,Coming soon,,,,https://calendar.chessdom.com/saint-louis-blitz/,"Gukesh D, Fabiano Caruana, Alireza Firouzja, Nodirbek Abdusattorov, Levon Aronian, Praggnanandhaa Rameshbabu, Maxime Vachier-Lagrave, Jan-Krzysztof Duda, Wesley So"
AV Sport Rapid Open,Námestovo,August 9,August 9,Open,Rapid,,https://chessnamestovo.sk/,,Europe,,,,,,,
Cathcart Allegro 2025,Cathcart - Scotland,August 9,August 9,Open,Rapid,,https://www.chessscotland.com/calendar/cathcart-allegro-2025/,,Europe,,,,,,,
Brugsemeesters 2025,Belgium,August 9,August 15,,Classical,,http://brugsemeesters.be/,,Europe,,,,,,,
23rd Spilimbergo Open 2025,Spilimbergo - Italy,August 9,August 15,Open,Classical,,https://www.spilimbergochess.com/,,Europe,,,,,,,
41. Faaker See Open 2025,Austria,August 9,August 16,,Classical,,http://www.faakerseeopen.at/,,Europe,,,,,,,
Go Checkmate FIDE Rapid Tournament (26th Edition),Singapore,8/9/2025,8/9/2025,Open,Rapid,,www.gocheckmate.sg,,Asia,,,,,,,
Go Checkmate FIDE Blitz Tournament (27th Edition),Singapore,8/9/2025,8/9/2025,Open,Blitz,,www.gocheckmate.sg,,Asia,,,,,,,
The Irish Championship 2025: Blitz,Ennis - Ireland,August 10,August 10,Open,Blitz,,https://www.icu.ie/events/1912,,Europe,,,,,,,
Seminarturnier Harz,Germany,August 10,August 17,,Classical,,https://www.schachreisen.eu/,,Europe,,,,,,,
Lincoln Southside Rapidplay 2025,Lincoln - England,August 10,August 10,Open,Rapid,,https://britchess.wufoo.com/cabinet/508974fe-d405-4561-958c-085dcd4ae8b1,,Europe,,,,,,,
Greenwich Peninsula Chess Club Rapid 2025,Greenwich - England,August 10,August 10,Open,Rapid,,http://gpchess.com/,,Europe,,,,,,,
6th Paul Keres Memorial Festival,Parnu - Estonia,August 11,August 17,Open,Classical,,https://keresmemorial.com/en/,,Europe,,,,,,,
5th Uppsala Chess Festival,Uppsala - Sweden,August 11,August 17,Open,Classical,,https://www.uppsalachessfestival.se/en/,,Europe,,,,,,,
"I. ÁRPÁD-HÁZI JOLÁN, FIDE OPEN OSTRIHOM",Ostrihom (Maďarsko),August 11,August 17,Open,Classical,,http://chess.sk/files/turnaje/ARPAD-HAZI-JOLAN_FIDE-OPEN_2025.08.11%E2%80%9317_SK_-_mod._4.07.pdf,,Europe,,,,,,,
Budapest ONE WEEK August 2025 GM,Budapest - Hungary,August 11,August 17,RR,Classical,,https://calendar.fide.com/event_files/3281/Budapest_OneWeek_202508.pdf,,Europe,,,,,,,
Budapest ONE WEEK August 2025 IM,Budapest - Hungary,August 11,August 17,RR,Classical,,https://calendar.fide.com/event_files/3282/Budapest_OneWeek_202508.pdf,,Europe,,,,,,,
Budapest ONE WEEK August 2025 U2250,Budapest - Hungary,August 11,August 17,RR,Classical,,https://calendar.fide.com/event_files/3282/Budapest_OneWeek_202508.pdf,,Europe,,,,,,,
Romanian National Junior U20 Individual Championships,Romania,August 11,August 20,Open,Classical,,https://frsah.ro/,,Europe,juniors,,,,,,
Satu Mare Chess Festival,Romania,August 11,August 17,Open,Classical,,http://www.satumareopen.com/,,Europe,,,,,,,
Arpad-Hazi Jolan Fide Tournament,Esztergom - Hungary,August 11,August 17,Open,Classical,,https://www.chessdom.com/i-arpad-hazi-jolan-fide-tournament-2025-live/,,Europe,,,,,,,
tschaturanga Open 2025 - 7 Rd 90+30 FIDE-Rating 2000,Austria,August 12,August 17,,Classical,,,,Europe,,,,,,,
22. RLP-Senioren-Open Altenkirchen/Ww. 2025,Germany,August 12,August 20,,Classical,,https://rlp-seniorenopen.de/onlineanmeldung/,,Europe,seniors,,,,,,
Kingston Invitational IM Norm RR 2025,Kingston-upon-Thames - England,August 12,August 16,RR,Classical,,https://www.chessdom.com/kingston-invitational-im-live/,,Europe,,,,,,,
Kingston Invitational Swiss 2025,Kingston-upon-Thames - England,August 12,August 16,Open,Classical,,https://kingstonchess.com/kingston-invitational/fourth-kingston-invitational-12-16-august-2025/,,Europe,,,,,,,
Muswell Hill FIDE Chess,London - England,August 12,August 12,Open,Classical,,https://form.jotform.com/62384663046964,,Europe,,,,,,,
1st Siliguri SCGC International FIDE Rated Classical Chess Tournament,West Bengal - India,August 12,August 17,Open,Classical,,https://aicf.in/wp-content/uploads/2025/03/SILIGURI-INTERNATIONAL-RATED-CHESS-TOURNAMENT-2025.pdf,,Asia,,,,,,,
Belt and Road China International Chess Open Bengbu,Bengbu - China,August 12,August 18,Open,Classical,,https://www.chessdom.com/belt-and-road-chess-events-in-bengbu-and-aksu/,,Asia,,,,,,,
RLP Senior Open,Germany,August 12,August 20,Seniors,Classical,,https://www.chessdom.com/22-rlp-senior-open-2025-live/,,Europe,Seniors,,,,,,
V Mindsports International Chess Festival 2025,London - England,August 13,August 18,Open,Classical,,https://www.chessdom.com/v-mindsports-international-2025-live/,,Europe,,,,,,,
V Mindsports International Festival 2025 Open,London - England,August 13,August 18,Open,Classical,,https://form.jotform.com/250984116760359,,Europe,,,,,,,
V Mindsports International Festival 2025 Night Blitz,London - England,August 13,August 13,Open,Blitz,,https://form.jotform.com/250984116760359,,Europe,,,,,,,
75th Anniversary Chess Rapid Tournament,La Pobla de Lillet - Spain,August 14,August 15,Open,Rapid,,https://escacs-lillet.webnode.es/,,Europe,,,,,,,
August Allegro #1 2025,Adelaide - Australia,August 14,August 14,Open,Rapid,,https://sachess.org.au/event/august-allegro-1-2025/,,Oceania,,,,,,,
Continental Open 2025,Massachusetts - USA,August 14,August 17,Open,Classical,,https://www.chesstour.com/,,North America,,,,,,,
Öppna Snabb-DM Västerbotten 2025,Lövanger - Sweden,August 14,August 14,Open,Rapid,,https://s2.chess-results.com/tnrWZ.aspx?lan=6&SNode=S0&tno=1204739,,Europe,,,,,,,
31st Abu Dhabi Chess Festival,Abu Dhabi - United Arab Emirates,August 15,August 24,Open,Classical,9,https://www.adchessfestival.ae/,yes,Asia,,Coming soon,,,,,"Parham Maghsoodloo, Amin Tabatabaei, Sanan Sjugirov, Bassem Amin, Arkadij Naiditsch, Ahmed Adly"
tschaturanga Rapid Open - 7 Rd 8+3 FIDE-Rating 600,Austria,August 15,August 15,,,,,,Europe,,,,,,,
Marshall Monthly U2400,New York - USA,August 15,August 17,Open,Classical,,https://www.marshallchessclub.org/tournaments/upcoming,,North America,,,,,,,
SCT August 2025,Edinburgh - Scotland,August 15,August 17,Open,Classical,,https://www.chessscotland.com/calendar/sct-august-2025/,,Europe,,,,,,,
Asian Schools Chess Championship 2025,Ulaanbaatar - Mongolia,August 15,August 25,Continental Juniors,Classical,9,https://asianschoolchess.com/,,Asia,juniors,,,,,,
15th Gütersloh Sparkassen Cup,Gutersloh - Germany,August 15,August 17,Open,Classical,,https://gtsv23.de/de_de/,,Europe,,,,,,,
V Mindsports International Festival 2025 Night Blitz,London - England,August 15,August 15,Open,Blitz,,https://form.jotform.com/250984116760359,,Europe,,,,,,,
3rd Lancaster Standard Play Congress,Lancaster - England,August 15,August 17,Open,Classical,,,,Europe,,,,,,,
Manchester FIDE Summer Congress 2025,Manchester - England,August 15,August 17,Open,Classical,,https://www.congress.org.uk/congress/606/enter,,Europe,,,,,,,
Newport Chess Congress 2025,Newport - Wales,August 15,August 17,Open,Classical,,https://newportchesscongress.uk/,,Europe,,,,,,,
GSF International FIDE Rated below 1800 Chess Tournament 2025,Madurai - India,August 15,August 17,,,,,,Asia,,,,,,,
5th Nagpur Below 1700 International Open FIDE Rating Chess Tournament 2025,Maharashtra - India,August 15,August 17,,,,,,Asia,,,,,,,
CAK FIDE Rated Chess Tournament 2025 (below 1650),Kerala - India,August 15,August 17,,,,,,Asia,,,,,,,
French National Chess Championship 2025,Vichy - France,August 15,August 24,National,Classical,,https://www.echecs.asso.fr/Default.aspx?Cat=15,,Europe,,,,,,,
French National Women Chess Championship 2025,Vichy - France,August 15,August 24,National,Classical,,https://www.echecs.asso.fr/Default.aspx?Cat=15,,Europe,women,,,,,,
Spanish Rapid Chess Championship 2025,Mengibar - Spain,August 15,August 15,Open,Rapid,,https://feda.org,,Europe,,,,,,,
Sinquefield Cup,Saint Louis - Missouri - USA,August 16,August 29,RR,Classical,9,https://grandchesstour.org/,yes,North America,,Coming soon,,,,,"Gukesh D, Fabiano Caruana, Nodirbek Abdusattorov, Alireza Firouzja, Wesley So, Levon Aronian, Jan-Krzysztof Duda, Maxime Vachier-Lagrave, Praggnanandhaa R."
FIDE World Youth U16 Olympiad 2025,Barranquilla - Colombia,August 16,August 23,FIDE Juniors,Classical,9,https://www.youtholympiad2025.com/,,South America,juniors,,,,,,
34. Int. Open Feffernitz 2025 Kärntner Schachsommer,Austria,August 16,August 23,,Classical,,http://www.schach-feffernitz.com/,,Europe,,,,,,,
Open Brasschaat 2025,Brasschaat - Belgium,August 16,August 24,Open,Classical,,https://open.brasschaak.be/,,Europe,,,,,,,
Staffordshire Chess Congress 2025,Stoke-on-Trent - England,August 16,August 17,Open,Classical,,https://docs.google.com/forms/d/e/1FAIpQLScJ4h5jmkICpSHpc9RvtdpfEcaWLqTPjTLzP8fgMDeutJzJrA/viewform,,Europe,,,,,,,
AlphaChess FIDE Weekender - North London Gateway,Potters Bar - England,August 16,August 17,Open,Classical,,https://congress.org.uk/congress/589/home,,Europe,,,,,,,
Greater London Chess Club Summer Rapidplay,London - England,August 16,August 16,Open,Rapid,,https://www.glcc.org.uk/summer_rapid2025.html,,Europe,,,,,,,
Wil Open,Switzerland,August 16,August 17,Open,Classical,,http://www.swisschesstour.com/1/wil_2days_open_3299018.html,,Europe,,,,,,,
Spanish Blitz Chess Championship 2025,Mengibar - Spain,August 16,August 16,Open,Blitz,,https://feda.org,,Europe,,,,,,,
Africa Amateur Chess Championships 2025,Burundi,August 17,August 23,Open,Classical,,https://www.amateurchess.com/list-of-participants/aco-2025-world-amateur-chess-championship,,Africa,,,,,,,
North American Youth Championship 2025,Ontario - Canada,August 17,August 23,,Classical,,https://www.chessdom.com/north-american-youth-championship-2025/,,North America,juniors,,,,,,
Olomouc Chess Summer 2025,Czech Republic,August 17,August 24,,Classical,,https://www.czechtour.net/olomouc-chess-summer/,,Europe,,,,,,,
African Individual Amateur Chess Championship,Burundi,August 17,August 25,Continental,Classical,,https://africanchessconfederation.com/acc-tournaments/2025-african-amateurs-individual-chess-championships-invitation/,,Africa,,,,,,,
53. ročník turnaja mládeže - Memoriál Ondreja Rintela 2025,Bratislava - mestská časť Petržalka,August 18,August 22,Open,Classical,,https://skdps.eu/,,Europe,,,,,,,
Panamerican Senior Chess Championship 2025,Joao Pessoa - Brazil,August 18,August 24,,Classical,,https://fideamerica.net/,,South America,seniors,,,,,,
V Mindsports International Festival 2025 Night Blitz,London - England,August 18,August 15,Open,Blitz,,https://form.jotform.com/250984116760359,,Europe,,,,,,,
Apatin Open,Serbia,August 19,August 24,Open,Classical,,https://chess-results.com/tnr1173381.aspx?lan=1,,Europe,,,,,,,
Belt and Road China International Chess Open Aksu,Aksu - China,August 19,August 25,Open,Classical,,https://www.chessdom.com/belt-and-road-chess-events-in-bengbu-and-aksu/,,Asia,,,,,,,
8th Northumbria Masters Chess Congress,Darlington - England,August 20,August 25,Open,Classical,,https://northumbriamasters.com/registration-form/,,Europe,,,,,,,
9. Schwarzatalopen,Austria,August 21,August 24,,Classical,,https://www.schachklub-gloggnitz.at/,,Europe,,,,,,,
Medzinárodný šachový turnaj SNP Bardejov,Bardejov,August 21,August 24,Open,Classical,,http://chess.sk/files/turnaje/SNP_propozicie2025.pdf,,Europe,,,,,,,
Camberley Open Blitz Tournament 2025,Heatherside - England,August 21,August 21,Open,Blitz,,https://camberleychess.co.uk/event/open-blitz-tournament-aug-2025/,,Europe,,,,,,,
August Blitz 2025,Adelaide - Australia,August 21,August 21,Open,Blitz,,https://sachess.org.au/event/august-blitz-2025/,,Oceania,,,,,,,
Innviertler Meisterschaft,Austria,August 22,August 24,,Classical,,https://www.taufkirchenschach.at/index.php/turniere/einladungen/1758-innviertler,,Europe,,,,,,,
Slovak Open Hlohovec 2025 15. ročník,Hlohovec,August 22,August 24,Open,Classical,,http://chess.sk/files/turnaje/Slovak_Open_Hlohovec_final.pdf,,Europe,,,,,,,
Maia Chess Open 2025,Maia - Portugal,August 22,August 30,Open,Classical,9,https://www.chessdom.com/maia-chess-festival-2025-masters-live/,,Europe,,,,,,,"Pouya Idani, Manuel Perez Candelario"
Obert de Sants - Ciutat de Barcelona 2025,Barcelona - Spain,August 22,August 31,Open,Classical,,https://www.cotxeres-casinet.cat/en/escacs/,,Europe,,,,,,,
7 Open Internacional Sub2200 Hotel Vértice Sevilla Bormujos,Bormujos - Spain,August 22,August 24,Open,Classical,,http://www.asodea.com/,,Europe,,,,,,,
4 Open Internacional Sub1800 Hotel Vértice Sevilla Bormujos,Bormujos - Spain,August 22,August 24,Open,Classical,,http://www.asodea.com/,,Europe,,,,,,,
Obert de Sants - Ciutat de Barcelona 2025 Grup A,Barcelona - Spain,August 22,August 31,Open,Classical,,https://www.cotxeres-casinet.cat/escacs/,,Europe,,,,,,,
Obert de Sants - Ciutat de Barcelona 2025 Grup B,Barcelona - Spain,August 22,August 31,Open,Classical,,https://www.cotxeres-casinet.cat/escacs/,,Europe,,,,,,,
Obert de Sants - Ciutat de Barcelona 2025 Grup C,Barcelona - Spain,August 22,August 31,Open,Classical,,https://www.cotxeres-casinet.cat/escacs/,,Europe,,,,,,,
1st Swindon Chess Congress,Swindon - England,August 22,August 25,Open,Classical,,https://swindonchessevents.co.uk/,,Europe,,,,,,,
Arianne Caolli Memorial Premier and Open,Broadbeach Waters - Australia,August 22,August 24,Open,Classical,,https://caq.org.au/event/arianne-caolli-memorial-premier-and-open/,,Oceania,,,,,,,
Atlantic Open 2025,Washington DC - USA,August 22,August 24,Open,Classical,,https://www.chesstour.com/,,North America,,,,,,,
Central California Open 2025,California - USA,August 22,August 24,Open,Classical,,https://www.chesstour.com/,,North America,,,,,,,
Indianapolis Open 2025,Indianapolis - USA,August 22,August 24,Open,Classical,,https://www.chesstour.com/,,North America,,,,,,,
Wohlen Amateur Open,Switzerland,August 22,August 24,Open,Classical,,http://www.swisschesstour.com/1/wohlen_4345368.html,,Europe,,,,,,,
Spanish Youth Chess Championships 2025 U16,Linares - Spain,August 22,August 27,Open,Classical,,https://feda.org,,Europe,juniors,,,,,,
11th Greek Open Blitz Championship,Greece,August 22,August 22,Open,Blitz,,https://s3.chess-results.com/tnrWZ.aspx?lan=1&SNode=S0&tno=1213255,,Europe,,,,,,,
Schachimedes-Jugend-Feriencamp in Großschönau/Waldviertel,Austria,August 23,August 29,,Classical,,http://www.schachimedes.at/,,Europe,,,,,,,
Schach Tirol Open 25 in Innsbruck,Austria,August 23,August 30,,Classical,,http://www.chess.at/tirol,,Europe,,,,,,,
Skalicky sachovy festival (PRIZEPOOL 10 000€),Skalica,August 23,August 31,Open,Classical,,https://www.chessslovakopen.sk/,,Europe,,,,,,,
21. Lichtenberger Sommer,Berlin - Germany,August 23,August 31,Open,Classical,,https://www.friesen-lichtenberg.de/,,Europe,,,,,,,
VII Torneo Internacional Ajedrez San Cristóbal de La Laguna,San Cristobal de La Laguna -Spain,August 23,August 30,Open,Classical,,https://chesslaguna.com/,,Europe,,,,,,,
17th Leyland Chess Congress,Leyland - England,August 23,August 25,Open,Classical,,https://congress.org.uk/congress/501/home,,Europe,,,,,,,
Poplar Rapid Tournaments - 15th Series,London - England,August 23,August 23,Open,Rapid,,https://britchess.wufoo.com/cabinet/055cfa0a-d78c-472a-be3c-79e39213f99e,,Europe,,,,,,,
GRECO Memorial - Festival Internazionale Città di Roccaraso,Roccaraso - Italy,August 23,August 30,Open,Classical,,https://www.scacchianiene.it/2025/01/18/1-festival-internazionale-di-roccaraso-greco-memorial-2025/,,Europe,,,,,,,
19th Open Greek Rapid Championship 2025 ,Greece,August 23,August 24,Open,Rapid,,https://s3.chess-results.com/tnrWZ.aspx?lan=1&art=0&turdet=YES&SNode=S0&tno=1213254,,Europe,,,,,,,
The Bray Rapid 2025,TBA,August 24,August 24,Open,Rapid,,https://www.icu.ie/events/1965,,Unknown,,,,,,,
Central American Team Championship 2025,Honduras,August 24,August 28,Team,Classical,,https://fideamerica.net/,,South America,,,,,,,
XII. ročník O pohár SNP 2025 - FIDE OPEN Dúbravan,Bratislava - mestská časť Dúbravka,August 24,August 30,Open,Classical,,https://dubravan.eu/,,Europe,,,,,,,
SA Rapid Chess Championship 2025,Adelaide - Australia,August 24,August 24,Open,Rapid,,https://sachess.org.au/event/sa-rapid-chess-championship-2025/,,Oceania,,,,,,,
Fujairah Global 2025 - Superstars,UAE,August 25,September 2,Open,Classical,,https://www.fujairahchessclub.com/fgcc/,,Asia,,,,,,,"Pentala Harikrishna,
Samuel Sevian,
Jorden Van Foreest,
Raunak Sadhwani,
Shant Sargsyan,
Nodirbek Yakubboev,
Volodar Murzin,
Daniel Dardha,
Shanglei Lu,
Vasyl Ivanchuk,
Sanan Sjugirov,
Pouya Idani,
Andrei Volokitin,
Abhimanyu Puranik,
Xiangyu Xu,
Bardiya Daneshvar,
V Pranav,
Chopra Aryan,
Aram Hakobyan,
Yagiz Kaan Erdogmus,
Aydin Suleymanli,
Alexander Donchenko,
Nikolas Theodorou,
Mahammad Muradli,
Jiner Zhu, Leon Luke Mendonca"
39. Activity-Cup U8-U14,Austria,August 25,August 28,Open,Rapid,,https://www.activity4u.at/62/de/sommercamps,,Europe,juniors,,,,,,
"Schach, Sport und Spiel Feriencamp 2025",Austria,August 25,August 30,,Classical,,https://www.chesssport.eu/events/schach-sport-und-spiel-25-8-30-8-in-drosendorf/,,Europe,,,,,,,
Fujairah Global 2025 - Masters,UAE,August 25,September 2,Open,Classical,,https://www.fujairahchessclub.com/fgcc/,,Asia,,,,,,,
Fujairah Global 2025 - Open,UAE,August 25,September 2,Open,Classical,,https://www.fujairahchessclub.com/fgcc/,,Asia,,,,,,,
Chinese National Youth Chess Team Championship 2025,China,August 25,August 28,Open,Classical,,https://ratings.fide.com/tournament_information.phtml?event=431749,,Asia,juniors,,,,,,
NÖ Einzelmeisterschaft Int. Sparkasse Baden Chess Open 2025,Austria,August 26,August 31,,Classical,,https://chess-results.com/tnr1133375.aspx?lan=0&art=0&turdet=YES,,Europe,,,,,,,
Damenturnier Sparkasse Baden Chess Open Swiss7R,Austria,August 26,August 31,,Classical,,https://chess-results.com/tnr1145205.aspx?lan=0&art=0&turdet=YES,,Europe,,,,,,,
Agria International Chess Open 2025,Volos - Greece,August 27,August 31,Open,Classical,,https://www.vardaris.com/el/,,Europe,,,,,,,
2025 Labor Day Norm Invitational,Charlotte - USA,August 28,September 1,RR,Classical,,https://www.charlottechesscenter.org/events/labordaynorm,,North America,,,,,,,
August Allegro #2 2025,Adelaide - Australia,August 28,August 28,Open,Rapid,,https://sachess.org.au/event/august-allegro-2-2025/,,Oceania,,,,,,,
2025 NY Marshall Labor Day GM/IM Invitational,New York - USA,August 28,September 1,RR,Classical,,https://nycchessnorms.com/2025-ny-marshall-labor-day-gm-im-invitational/,,North America,,,,,,,
New York State Championship 2025,New York - USA,August 29,September 1,Open,Classical,,https://www.chesstour.com/,,North America,,,,,,,
Southern California Open,California - USA,August 29,September 1,Open,Classical,,https://www.scchess.com/,,North America,,,,,,,
Haparanda Höst Round Robin 2000+ (Haparanda ELO2 2025),Haparanda - Sweden,August 29,August 31,RR,Classical,,https://s1.chess-results.com/tnrWZ.aspx?lan=1&SNode=S0&tno=1230470,,Europe,,,,,,,
2025 Southeastern FIDE,Charlotte - USA,August 30,September 1,Open,Classical,,https://www.charlottechesscenter.org/events/southeasternfide,,North America,,,,,,,
27esimo festival internazionale Città di Trieste,Trieste - Italy,August 30,September 7,Open,Classical,,https://sst1904.com/festival/,,Europe,,,,,,,
Lidköping Open,Lidköping - Sweden,August 30,August 31,Open,Classical,,https://lidkopingopen.se/,,Europe,,,,,,,
4th Cambridge FIDE Congress,Cambridge - England,August 30,August 31,Open,Classical,,https://tinyurl.com/Psyon-Chess-SP4,,Europe,,,,,,,
3rd Torquay Riviera Congress,Torquay - England,August 30,September 5,Open,Classical,,http://congress.org.uk/congress/583/home,,Europe,,,,,,,
Kerala International Grandmaster Chess Tournament 2025,Kerala - India,August 30,September 6,,,,,,Asia,,,,,,,
Serbia Rapid and Blitz National Championship ,Serbia,August 30,August 31,Open,Rapid,,https://serbiachess.org/,,Europe,,,,,,,
Memorial Emilio Sanchez,Jerez - Spain,August 30,August 30,Open,Rapid,,https://clubajedrezbeniajan.com/,,Europe,,,,,,,
The Dun Laoghaire Rapid 2025,TBA,August 31,August 31,Open,Rapid,,https://www.icu.ie/events/1966,,Unknown,,,,,,,
67° Festival Internazionale di scacchi di Imperia,Imperia - Italy,August 31,September 7,Open,Classical,,https://www.imperiascacchi.it/,,Europe,,,,,,,
Brisbane Girls Tournament,South Brisbane - Australia,August 31,August 31,Women,Rapid,,https://caq.org.au/event/brisbane-girls-tournament-2/,,Oceania,,,,,,,
Romanian National Junior U20 Team Championships,Romania,September 2,September 7,Team,Classical,,https://frsah.ro/,,Europe,juniors,,,,,,
FIDE Women's Grand Swiss 2025,Samarkand - Uzbekistan,September 3,September 16,World Championship cycle,Classical,11,https://grandswiss2025.fide.com/,yes,Asia,Women,Coming soon,,,,,"Zhongyi Tan, Humpy Koneru, Anna Muzychuk, Kateryna Lagno, Bibisara Assaubayeva, Mariya Muzychuk, Harika Dronavalli, Vaishali Rameshbabu, Polina Shuvalova, Alexandra Kosteniuk, Yuliia Osmak, Deshmukh Divya, Nino Batsiashvili, Teodora Injac, Miaoyi Lu, Leya Garifullina, Lela Javakhishvili, Carissa Yip, Stavroula Tsolakidou, Olga Badelka, Anna Shukhman, Anna Ushenina, Yuxin Song, Klaudia Kulon, Dinara Wagner, Aleksandra Maltsevskaya, Elina Danielian, Antoaneta Stefanova, Irina Bulmaga, Olga Girya, Mai Narva, Zsoka Gaal, Vantika Agrawal, Govhar Beydullayeva, Nurgyul Salimova, Mo Zhai, Irina Krush, Ulviyya Fataliyeva, Marsel Efroimski, Qi Guo, Gulrukhbegim Tokhirjonova, Oliwia Kiolbasa, Khanim Balajayeva, Mariia Manko, Javiera Belen Gomez Barrera, Lina Nassr, Tingjie Lei, Shrook Wafa, Meri Arabidze, Eline Roebers"
FIDE Grand Swiss 2025,Samarkand - Uzbekistan,September 3,September 16,World Championship cycle,Classical,11,https://grandswiss2025.fide.com/,yes,Asia,,Coming soon,,,,,"Erigaisi Arjun, Gukesh D, Nodirbek Abdusattorov, R Praggnanandhaa, Alireza Firouzja, Ian Nepomniachtchi, Anish Giri, Shakhriyar Mamedyarov, Levon Aronian, Vladimir Fedoseev, Maxime Vachier-Lagrave, Hans Moke Niemann, Vincent Keymer, Vidit Santosh Gujrathi, Yu Yangyi, Richard Rapport, Javokhir Sindarov, Pentala Harikrishna, Nihal Sarin, Awonder Liang, Daniil Dubov, Parham Maghsoodloo, Andrey Esipenko, Jorden Van Foreest, Ray Robson, Samuel Sevian, Alexey Sarana, Vladislav Artemiev, Bogdan-Daniel Deac, Raunak Sadhwani, Nikita Vitiugov, Shant Sargsyan, Pavel Eljanov, Frederik Svane, Alexander Grischuk, Volodar Murzin, Sam Shankland, Matthias Bluebaum, Aleksandar Indjic, Ivan Saric, Grigoriy Oparin, Nodirbek Yakubboev, David Navara, Daniil Yuffa, Rauf Mamedov, Murali Karthikeyan, M. Amin Tabatabaei, Kirill Alekseenko, Jonas Buhl Bjerre, Radoslaw Wojtaszek, Lu Shanglei, Daniel Dardha, Maxim Rodshtein, Shamsiddin Vokhidov, Nils Grandelius, David Anton Guijarro, Ivan Cheparinov, Bardiya Daneshvar, Velimir Ivic, Jeffery Xiong, Ediz Gurel, Bassem Amin, Maksim Chigaev, Haik M. Martirosyan, Sanan Sjugirov, Robert Hovhannisyan, Vasyl Ivanchuk, Dmitrij Kollars, Etienne Bacrot, Anton Korobov, Salem A.R. Saleh, Yagiz Kaan Erdogmus, Rasmus Svane, Andrei Volokitin, Gabriel Sargissian, Maxim Matlakov, Abhimanyu Puranik, Alexandr Predke, Ruslan Ponomariov, Maxime Lagarde, Jaime Santos Latasa, Aram Hakobyan, Aryan Chopra, Alexei Shirov, Anton Demchenko, Dennis Wagner, Evgeniy Najer, Alexander Donchenko, Nikolas Theodorou, Max Warmerdam, Xu Xiangyu, Abhimanyu Mishra, Mahammad Muradli, Aydin Suleymanli, Jon Ludvig Hammer, Marc`Andria Maurizzi, Szymon Gumularz, Baadur Jobava, Yuriy Kuzubov, Leon Luke Mendonca, S L Narayanan"
September Rapid 2025,Adelaide - Australia,September 4,September 4,Open,Rapid,,https://sachess.org.au/event/september-rapid-2025/,,Oceania,,,,,,,
Zimbabwe U20 Junior Chess Open,Nyazura - Zimbabwe,September 4,September 5,Junior,Classical,,https://zcf.org.zw,,Africa,,,,,,,
Mendrisio Chess Open,Switzerland,September 5,September 7,Open,Classical,,http://www.swisschesstour.com/1/mendrisio_4338529.html,,Europe,,,,,,,
Royal Rapid September 2025,Austria,September 5,September 5,,,,,,Europe,,,,,,,
Leistung erzeugen. Erfolg zulassen. ChessSports Akademie am Walserberg,Austria,September 5,September 7,,,,https://www.chesssport.eu/,,Europe,,,,,,,
[PLACEHOLDER] The City of Dublin 2025,TBA,September 5,September 7,,,,,,Unknown,,,,,,,
Marshall Premier (2000+),New York - USA,September 5,September 7,Open,Classical,,https://www.marshallchessclub.org/tournaments/upcoming,,North America,,,,,,,
Marshall Premier (u2000),New York - USA,September 5,September 7,Open,Classical,,https://www.marshallchessclub.org/tournaments/upcoming,,North America,,,,,,,
Björkstadsschacket 2025,Umeå - Sweden,September 5,September 7,Open,Classical,,https://s3.chess-results.com/tnrWZ.aspx?lan=6&SNode=S0&tno=1204738,,Europe,,,,,,,
Mendrisio Blitz,Switzerland,September 6,September 6,Open,Blitz,,http://www.swisschesstour.com/1/mendrisio_4338529.html,,Europe,,,,,,,
Burgenländische Jugendschachrallye 2025 - Pamhagen,Austria,September 6,September 6,,,,https://bsbschach.club/jugendschachrallye/,,Europe,,,,,,,
31. Feldbacher Int. Süd-Ost Blitzturnier,Austria,September 6,September 6,,,,,,Europe,,,,,,,
39. LIBINSKÁ VĚŽ,Libina,September 6,September 6,Open,Rapid,,http://chess.sk/files/turnaje/LIBINSKA_Vez_39_2025_7kol.docx,,Europe,,,,,,,
Företagsmästerskapet i schack,Stockholm - Sweden,September 6,September 6,Team,Rapid,,https://schack.se/wp-content/uploads/2025/03/Inbjudan-till-Foretagsmasterskapet-den-6-sep.pdf,,Europe,,,,,,,
City Of Chess Ostend Open,Ostend - Belgium,September 6,September 12,Open,Classical,,https://cocoon.kosk.be/,,Europe,,,,,,,
AlphaChess FIDE Weekender - North London Gateway,Potters Bar - England,September 6,September 7,Open,Classical,,https://congress.org.uk/congress/590/home,,Europe,,,,,,,
1st Richard Zyra Memorial,Westfield - USA,September 6,September 6,Open,Classical,,https://www.greaterbaystatechess.com/,,North America,,,,,,,
